;juillet;août;septembre;octobre;novembre;décembre
1;1;;1;;3;12
2;;;;6,5;12;5
3;;;;1,5;;
4;;;;;36;
5;;;;;11;
6;;;;5;4;
7;;19;;;7;4
8;;;;5;12;4
9;;5;;7;1,5;1,5
10;;4;;2;;
11;;2;4;;9,5;
12;;2;;;5;
13;;;;;1;
14;;2;;1,5;10,5;26
15;;;;12;;
16;;;;1,5;16;
17;;;;10;;
18;;17;;10,5;;
19;;;;4,5;;20
20;;;;;;20
21;;;;20;;12
22;;;4,5;;9;14
23;;;1,5;;;3
24;;;17;1;5,5;11
25;;;5,5;1;5,5;
26;4;;10;;3,5;2
27;11,5;;7;;25;
28;;;1,5;6;;
29;1;;5,5;1,5;3,5;
30;;;1;2;;
31;4;;;15;;
;21,5;51;58,5;113,5;180,5;134,5
