;janvier;février;mars;avril;mai;juin;;neige;neige février;neige mars
1;5;3,5;1,5;2,5;;4;;cm;;
2;2;;;7;2,5;;;;;
3;;;;6;0,5;;;;;
4;;;5;5,5;;;;;;
5;;;11;;13;;;;;
6;;;1,5;;3;;;;;
7;0,5;1;;2;4;;;;;
8;5,5;;1;;3;;;;;
9;14;;;3;;;;;;
10;2;;;;;;;;;
11;7;;;;4;;;;;
12;22;;4,5;;;;;;;
13;19;;6;;;;;;;
14;13;;;2;;;;;;
15;3;;1,5;;;;;;;
16;4;;;;;;;;;
17;13;;;;;;;;;
18;18;4;0,5;15;;;;;;
19;;2;2,5;13;;;;;;
20;;;7;6;;;;;;
21;;3;6;0,5;;;;;;
22;1,5;17;1;;;3;;;;
23;9,5;10;7;;;6,5;;;;
24;5;;1,5;;;;;;;
25;;;;;;;;;;
26;23;;2;;;;;;;1,5
27;2;1;;;;;;;0,5;
28;1;0,5;;;;;;;;
29;;1;;2;0,5;;;;0,5;
30;;;;5;2;;;;;
31;4;;2,5;;2;;;;;
