;juillet;août;septembre;octobre;novembre;décembre;neige décembre
1;;;;5;1;;
2;;;;11;;3;
3;3;;;;;1;
4;7;;;;;12;
5;15;1;;5;25;14;
6;4;;;;;2;
7;3;;;;16;3;
8;;;;3;2;;
9;;;;1;;;
10;;2;;;10;;
11;;3;;;5;;
12;;;;;11;3;
13;;;;;10;;
14;;;;2;;;
15;;;;;;;
16;;;;;;4;2
17;;;;6;;;
18;;;;;3;;
19;;;14;;23;3;
20;;;9;;7;3;
21;;;;;;;
22;;;;;6;;
23;;3;;;2;4;
24;;4;;;;;
25;;2;3;1;14;6;
26;;;;;4;;
27;;;6,5;;7;;
28;;;;3;4;;
29;;;0,5;;9;;
30;;;;;2;;
31;;;;;;;
