;juillet;août;septembre;octobre;novembre;décembre
1;;;;;;8
2;10;;;;;24
3;8;;;3;;
4;;;6;;;
5;5;;;;;4
6;;3;;;;6,5
7;;;;;;
8;;;;;;17
9;;;;;;5
10;11;;;5,5;;
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;1;
15;;12;;0,5;;
16;28;3;;;;
17;4;;;5;;
18;;;5;;;
19;;3;;;8;
20;2;24;;;7;
21;;5;;;17;
22;;;7;;;
23;21;;;;;
24;;6;3;;;
25;;;;;;
26;;;;;;
27;;;5;;1,5;1
28;2;;;;;
29;;;;11,5;;2
30;1,5;;;;1,5;4
31;;;;;;
;92,5;56;26;25,5;36;71,5
