;juillet;août;septembre;octobre;novembre;décembre
1;;;8;2;;
2;;;;;3;
3;;;;2;;
4;;5;3;;24;
5;;28;6;;13;14
6;;21;8;;6;
7;;18;1,5;;1;5
8;;;8;;;3
9;;;5;;3;25
10;;8;;2;19;4
11;;4;18;;2;1
12;;;;;13;
13;;;11;;3;
14;;;2;;;
15;;;7,5;;4;
16;;;;;;4
17;7;;;;4;
18;16;2,5;;;5;7
19;3;3;12;12;1;2
20;;1;22;7;;
21;;;;1;;8
22;;;9;39;;
23;;;8;10;;
24;;;9;4;;
25;;4;;5;;
26;;3;7;5;;
27;;2;1,5;3;1;12
28;;3;;3;;11
29;;;;5;;13
30;1;;;3;;18
31;21;3;;;;6
