;juillet;août;septembre;octobre;novembre;décembre
1;;;;;;
2;3;;;;;
3;;;;;1,5;
4;;;;;20;2
5;;;;15;;
6;;;;15;3,5;
7;;;;10;1;
8;;10;;2;;
9;;;;;;
10;;;;;;10
11;;;;;;
12;;1;5;;;
13;;20;15;;;2
14;;;9;;;
15;;4;6;;;4
16;;;13;;;5
17;;;18;;4,5;
18;;;;;5;
19;;;;;1,5;
20;;;;;7,5;4
21;;;;;19;
22;;;2,5;1;;3
23;;18;9;;;
24;4;6;;;;1
25;;4;;;3;
26;;;;;7,5;
27;3;22;;;2;
28;;22;;6;2,5;
29;12,5;;;4;10;4
30;;;;1;1,5;
31;;;;;;3,5
;22,5;107;77,5;54;90;38,5
