;juillet;août;septembre;octobre;novembre;décembre
1;;;;;8;
2;;2;;2;11;
3;;;;1;12,5;
4;;;;15;4;19
5;;1;;;6,5;
6;3;;;;10,5;
7;;;;5;;8
8;;;;4,5;2;
9;1;;;7;;
10;;;;17;;1
11;3;;;17;;
12;;;;4;;
13;22;;;2;;12
14;;4;;18;;21
15;6,5;;;2;;12
16;;;;8;;17
17;;;;13;;12
18;;;;23;11;3
19;;;;24;;8
20;5,5;;;12;;6
21;2;;;21;;10
22;;;11;3;;7
23;;;;;;
24;;;9;;;
25;;6;22;;;5
26;;;5;;2;9
27;;;5;;;10
28;;1;;;;3
29;;;;;;2
30;7;;;;;4
31;12;3;;;;
;62;17;52;198,5;67,5;169
