;juillet;août;septembre;octobre;novembre;décembre
1;;;;;7;
2;;;;;5;32,5
3;;;;;;16
4;;;;;;6
5;;;;;;
6;;;;;2;12
7;;;;20;10;2
8;;;;;5;3
9;;;;;;10
10;;20;;;;4
11;;;;12;16;
12;;;;2;34;
13;;;;;;
14;;6;;;;
15;;;;8;;3
16;;;;1;;10
17;;;;;;
18;11;;;;1;
19;;;;;;9,5
20;;;;;;2
21;;;;;;26
22;;;;;;8
23;;;16;;;
24;;;;;6,5;
25;;;;;25,5;
26;;;;;2,5;
27;;2;;;;
28;1;;;;;
29;;22;;12;;
30;;;;2;2,5;
31;;;;;;1,5
;12;50;16;57;117;145,5
