;juillet;août;septembre;octobre;novembre;décembre
1;;;;7,5;;
2;;;;8;;
3;;;;;;
4;;3;;;;
5;;;;;13;
6;;;;;;
7;;;;;;
8;;;;;;
9;;1;;;14;
10;;;;;2;
11;;;1;;;
12;;;;;;2
13;;;;;6;
14;1,5;;20;;1;
15;;;2;1;1,5;
16;;;2;;2;
17;;;7;6,5;6;
18;;;;1;5;
19;;;;1;10,5;
20;;6;;;3;
21;;;;;10,5;
22;;;;;3;
23;;;;;2,5;11
24;;;;2,5;6,5;3,5
25;;;1;;2,5;
26;;;;;1;2
27;;;;;;
28;;;;;;
29;;1;;;;
30;;;7;;;
31;;;;;;
;1,5;11;40;27,5;90;18,5
