;juillet;août;septembre;octobre;novembre;décembre
1;;2;;;;
2;;;;1;;1
3;9;7,5;1;8;;
4;;;;21;;11,5
5;1;;;;;8
6;1;;;;;10
7;6;;;10;;4
8;;;;;;18
9;;;;7;;19
10;;;;;;2,5
11;;;;27;;
12;;;2;11,5;3,5;
13;;;;;;6
14;;;13;;2;
15;;;18;;1,5;
16;;;21;;;
17;;7;;;10;7
18;7;5;;3;5;
19;0,5;3;1;2;20;
20;;3;;8;;
21;;0,5;;2;18;
22;53,5;;50;;4;
23;;;1;;20;
24;;;3;16;1;
25;;3;1;;6;
26;;;;;3,5;
27;;;;1;;
28;;7;;;9;
29;;9;;;;
30;;2;7;;;5
31;7;;;;;5
