;janvier;février;mars;avril;mai;juin
1;;;;;;
2;;;8;10;;
3;;3;;3;8;
4;;;;15;;
5;;8;;3;;
6;;;;;;8
7;;;;;;
8;;;;;3;
9;;;;;4;
10;;;;;4;4
11;;;;;;6,5
12;;;;;;20,5
13;13;;4;;2;
14;;;;;;
15;7;;;;5;9
16;7;;;;;
17;;;;;;1
18;3;3;;;;
19;;;;;;
20;8;35;15;;;
21;;;;;;
22;;4;2;;;
23;12;;;;;
24;1;11;;;;
25;;17;9;;;
26;;4;2;;;
27;;;15;;2;
28;2;8;5;;1;2
29;;;;;;
30;10;;7;;8;
31;;;5;;5;
;63;93;72;31;42;51
