;juillet;août;septembre;octobre;novembre;décembre
1;;;;1;;
2;2;;;16;;
3;;;;;2;
4;;;;19;2;2
5;;;;10;;
6;;;;6;;24
7;;;6,5;4;16;11
8;;;12;3;15;20
9;;;3;2;8;
10;;;;;;
11;;2;;;7;
12;;;;;22;
13;;;;;8;
14;;;;;11;
15;10;9;;;;
16;2;2;;;5;
17;;;;;;6
18;;;;;;
19;;;;;;
20;;;;;2;22
21;2;;;;;7
22;;;;;;8
23;;;;6;2;7
24;;13;12;;;10
25;;;2;;2,5;
26;;;;;;
27;;9;;;;
28;;;;2,5;;5
29;;;;;;
30;;;3;8,5;;2
31;;;;;;
;16;35;38,5;78;102,5;124
