;juillet;août;septembre;octobre;novembre;décembre;neige décembre
1;2;;0,5;;;;
2;1;;;;;2;
3;1;;;;1;3;
4;2;12;;;3;;
5;2;4;;;;;
6;;3;;;3;;
7;;;1;11;5;;
8;;;;;5;;
9;;;;4,5;13;7;
10;;;;16;14;10;
11;;2;;;10;20;
12;;;;3;3;4;
13;;;;;;;
14;;;;;;;
15;;9;;4,5;1;;
16;;;;;0,5;;
17;;;;;;17;9
18;;;;;2;12;
19;;7;;;6;;
20;;;;5;20;1,5;
21;;;;1;3;3,5;
22;;;;;;;
23;;;;8;;4;
24;;;;;2;2;
25;4,5;6;;;1;7;
26;;2;;;;2,5;
27;2;5,5;;;2,5;;
28;;4;;;3,5;;
29;;;;;5;;
30;;9;;;;;
31;;;;;;7;
