;janvier;février;mars;avril;mai;juin;;neige;neige janvier
1;;;;;1;;;cm;
2;;;;;;;;;
3;;;;;;;;;
4;;;19;;;;;;
5;1;18;7;;;;;;1
6;;;1,5;2;;;;;
7;;1;;;;5,5;;;
8;;;;;;13,5;;;
9;;5;6;5;1,5;7;;;
10;;;;7;;;;;
11;;;3;10;23,5;;;;
12;;;;2;2;;;;
13;8;;;;13;;;;
14;;2;1;;;;;;
15;;;;10;21;;;;
16;;;;;3;;;;
17;;;;;;;;;
18;18,5;1;;2;6;;;;
19;8;;;7;;2,5;;;
20;8;;;5;;;;;
21;;;;;;;;;
22;13;;;;;;;;
23;8;;;;;;;;
24;23;;;;;;;;
25;;;;;;;;;
26;8;;;2;7;;;;
27;;;3;;;;;;
28;;;8;12;;;;;
29;6;;;8;;;;;
30;;;;6;;;;;
31;;;;;;;;;
;101,5;27;48,5;78;78;28,5;;;
