;juillet;août;septembre;octobre;novembre;décembre
1;;;;;20;
2;;;;;5;
3;14;;;;22;
4;;;;;7,5;
5;;;;5;2;
6;;;1,5;20;5;
7;;;;5;12;
8;;;;;9,5;
9;;;;;8;
10;;;;;4;
11;;;;;5;
12;;;1;10;5;
13;;;;;2;
14;;;36;7;2;
15;;;4;10;;
16;;;5;9;;
17;;;;3;;
18;;;5;;;
19;2,5;2,5;;;;10
20;;;;;;
21;;;;;;
22;;;;;15;3
23;10;;;6;;3
24;1;0,5;;;;25,5
25;;3;;;;20,5
26;7;4,5;2;1;;5
27;24;;5;5,5;;8
28;2;;;28;;25,5
29;;;2;1;;
30;;;1,5;;;2,5
31;;;;;;
;60,5;10,5;63;110,5;124;103
