;janvier;février;mars;avril;mai;juin
1;9;;;9;;
2;20;29;;;;20
3;10;23;5;5;;4
4;2;;1;15;;6
5;29;;;9;2;2
6;10;;2;2;2;
7;3;3;;11,5;;
8;;;;3;8;
9;3;5;;13;;
10;6;7;;8;;
11;;13;;;7;
12;;6;;;1;
13;6;;3;;;
14;;;;3;1;
15;20;2;1;1;;
16;;;;;2;
17;11;3;;;6;
18;;5;;;;
19;;3;;;;
20;3;2;3;;4;
21;;3;4;;6;
22;;4;;;;
23;;5;;;;
24;;;;;13;
25;5;;;;;7
26;3;9;1,5;;5;
27;;;;3;4;
28;10;;;;;
29;;;;;;
30;;;;;;
31;;;6;;;
