;juillet;août;septembre;octobre;novembre;décembre
1;;;;;4;
2;2;;;;7;
3;;6;;;;
4;;5,5;;;;
5;;;;;;
6;;;;;;
7;8;;;19;;
8;6;2;;7;3;
9;3;3;;5;2;
10;;2;4,5;1;4;
11;;;4;25;;
12;;13;3;15;;
13;;21;;9;;
14;;;7;15;;
15;;4,5;;10;;
16;;;;1;;10
17;;;;;1;2
18;;;;;1;8
19;5,5;6;;3;5;3
20;;15,5;;5;;2
21;;1;;11;3;1
22;1,5;;;1;1;10
23;10;;1;;;2
24;;1;5;;;6
25;;5;;2;;
26;;3;;;;1
27;;;;1;;6
28;;5;;5;8;
29;;9;;10;;2
30;;2,5;;5;;2
31;;;;;;
