;janvier;février;mars;avril;mai;juin
1;;7;;;31;5
2;;;;;20;
3;3,5;;;5;14;
4;4;3;;;;
5;;;;;8;
6;;;;;;
7;;;;;;
8;3;;;;5;
9;4;;;;;
10;;;;;;
11;13;;;;;
12;;;;;;16
13;9;2;2;;;
14;3;12;;;;9
15;25;7;;;3;15
16;2;;;;;
17;;13;;2;1;
18;;;;;;
19;5;;;;1;
20;;10;;;;
21;;6;9;;;
22;;;;;;
23;12;;;;;
24;;3,5;9;;;
25;;5;1;;;
26;;2;;15;;
27;;7;;;;
28;;;5;;;
29;16;;;;;
30;5;;9;20;;
31;1,5;;;;;
;106;77,5;35;42;83;45
