;juillet;août;septembre;octobre;novembre;décembre
1;;;;;21;3
2;;5;;;2;13
3;2;3;16;3;8;
4;6;3;;;;5
5;4;;12,5;;1;11
6;;;4;9;2;
7;2;;12;;;
8;20;;;6,5;1;
9;;;;;18;
10;;;2;;;
11;8;;;;18;2
12;1;7,5;7;;;
13;;2;;;;
14;;1;;;;13,5
15;;;;;3,5;2
16;;;;13;;
17;;;;;2;
18;;;;;4;
19;;;;;;3
20;;;;;;
21;;;;10;;
22;;5;;;2;
23;;;;;;
24;;;;;3;
25;;5;2;;;
26;5,5;;;;;
27;1;;;21,5;;
28;;;;;;
29;16;;;;7;
30;;;;7;;
31;;5;;27;;
;65,5;36,5;55,5;97;92,5;52,5
