;janvier;février;mars;avril;mai;juin
1;;;4;;6;
2;2;;;2;4;
3;;13;;;;
4;;12;9;;;
5;;;13;2;;
6;;4;8;;23;20
7;;4,5;1;;;2
8;;;7;;;
9;2;;2;;;2,5
10;6,5;;;;;
11;1;;;;5;
12;;2;;;1;
13;6;;14;;7;
14;;3,5;;;;
15;;;;;;
16;12;2;;;;
17;;;;;;
18;;;;;5;
19;;;;;10;
20;;;;;4;
21;;2;2;;;
22;;;8;;;
23;;;7,5;;;
24;;;1;;;
25;;;;;;
26;;;;2,5;;
27;;10;;;1;
28;2;13;;;1,5;6
29;;;;;5;7
30;2;;;;3;4
31;5;;;;;
;38,5;66;76,5;6,5;75,5;41,5
