;juillet;août;septembre;octobre;novembre;décembre
1;;2;;;;7,5
2;2;24;;;5;
3;13;7;;2;28;0,5
4;;;;3,5;3;0,5
5;5;;;;3;4
6;4;2;1;0,5;3;
7;;;;;10;
8;;;;;3;
9;1;14;60;;18;1
10;8;1,5;8;19;3;1
11;;;;1;10;1
12;1;2;;4;2;3
13;1,5;;;;14;1
14;;;;;3;
15;;;;2;4,5;16
16;;;;2;12;7
17;;;;6;1;4
18;;15;;6;;4,5
19;;;1;4;;
20;;;;;;2
21;;;;6;12;
22;;;;17;12;17
23;;;;32;14;2
24;;;;4;2;5
25;;;;20;1;6,5
26;;15;;9;0,5;13
27;;10;;4,5;;7,5
28;;7,5;;;2,5;8,5
29;;;;;10;7
30;;;;;2,5;
31;15;;;;;2
