;janvier;février;mars;avril;mai;juin
1;;9;3;;1;
2;1;;13;;17;
3;;;1;;2;
4;;4;;5;;
5;;19,5;;;;2
6;;2,5;;;;
7;;;2;2;;
8;;1,5;;9;;7
9;;5;;;2;16
10;3;2;;;5;4
11;5;;;;10;2
12;;;4;8;;
13;1;;;;;
14;2;10;16;;12,5;
15;6;1;7;;;1
16;2;;2;1;;
17;4;;1;;;
18;3;;9;;;
19;3;1;27;;;
20;1;17;2;;1;0,5
21;;4;1;;;
22;1;1,5;2;;8;
23;4;;;;;
24;9;2;;;3;
25;;3;;;5;
26;2;11;;;4,5;
27;23;5;;1;10;
28;3;6;;4;13;
29;;;;2;3;
30;;;;;;
31;;;;;;
