;juillet;août;septembre;octobre;novembre;décembre;;;Neige décembre
1;2;;;;;0,5;;cm neige;1
2;;;11;2;;;;;
3;1,5;2,5;;3;;1;;;
4;;;2;;;2;;;
5;;;2;;7;;;;
6;;;6;;2;;;;
7;;;;;;1;;;
8;;3,5;1;;4;11;;;
9;;2;28;3;1;;;;
10;21;6;;1;1;18;;;
11;4;2;;;;;;;
12;;;;;4;;;;
13;;;;;1,5;4;;;
14;;;8;;;6;;;
15;;;;;;14;;;
16;;;2;;;1;;;
17;;;5;;;2;;;
18;;17;;;;2;;;
19;;;;0,5;;;;;
20;2;;;6;;;;;
21;;;;6;;2;;;
22;7,5;;;4;;;;;
23;;;;;5;2;;;
24;9;;;2;3;;;;
25;;;;;;1;;;
26;;;4;;;4;;;
27;5;;;;;30;;;
28;1,5;;;;5;2;;;
29;;;;;;2;;;
30;1;;;2,5;;15;;;
31;;5,5;;;;2;;;
;54,5;38,5;69;30;33,5;122,5;;;1
