;janvier;février;mars;avril;mai;juin
1;9;21;3;;;
2;25;;;;10;
3;2;;7;5;;
4;3;5;13;;;3
5;10;9;3,5;;;
6;9;2;;;;
7;2;5;;;;3
8;;17;;;;
9;2;;;;3;
10;2;9;;;;3
11;;1;;;3;
12;;;;;2,5;
13;3;25;;;;
14;7,5;5;;;4;
15;2;;;;;
16;21;9;;;;
17;7;1;;;;
18;;;;;;
19;5;;;;;
20;;4;;;25,5;
21;;10;2,5;;2;
22;7;3,5;7;;21;
23;;;5;;8;
24;17;6;4;2;11;
25;;;5;2;2;
26;;5;;0,5;;
27;15;4;;12;;5
28;2;15;2,5;2,5;;1
29;30;;;16;;25
30;;;;;2;2
31;;;;;;
;180,5;156,5;52,5;40;94;42
