;janvier;février;mars;avril;mai;juin
1;2;16;;;;2
2;;1;;;;1
3;19;5;;;;
4;5,5;;;2;;
5;9;1;4;;;
6;3;;;1;;
7;21;15;;;;
8;4;7;;;;
9;1;;10;6;3;
10;11,5;;14;;;11
11;21;2;;4;;
12;9;15,5;;;;
13;1,5;6,5;;;10,5;
14;1;5;;4,5;2;4
15;;2,5;;10;;11
16;;;;;;
17;;;;;;1,5
18;3;5;;;5;
19;;;;;;
20;;;;;;
21;;3;;1,5;;
22;7;;;;;3
23;1;5;;;20;
24;;17;;;;
25;;9;;;;
26;;;;2;7;
27;;;14;;1;
28;;;25;;21;
29;27;;3;;;
30;13;;7;11;42;
31;;;12;;;
;159,5;115,5;89;42;111,5;33,5
