;juillet;août;septembre;octobre;novembre;décembre
1;;;;;;
2;;;;;;1
3;;13,5;;;10;3
4;2;;;;45;1
5;13;;;11;;2,5
6;15;;;11;;
7;;10;;3;5;
8;9;41;;9;3;3,5
9;16;1;4;;8;4
10;;3;;11;;1
11;;5;;2;;3
12;11;26;;5,5;11;4
13;2;;;;;1
14;2;2;;;2,5;
15;;;;5;4;5
16;;3;;8;15;2
17;;;;;10;2
18;;1,5;;;3,5;
19;9;;;;;8
20;;;;;;
21;9;;8;;;
22;;;;;;
23;;;;;;
24;;;;;;
25;;;;;11;2,5
26;;16;;;;
27;;;;;;4
28;3,5;2;;;;4
29;7;;;;;
30;;;7;;;
31;;;;;;
;98,5;124;19;65,5;128;51,5
