;juillet;août;septembre;octobre;novembre;décembre
1;4;;;3;7;1
2;;;;;5;10
3;;;;;;10
4;8;;;;5;8
5;4;;;;;6
6;4;;;;;
7;;;1;;5;
8;;;;;;6
9;;;;;11;
10;;;4;;;
11;;;3;;;
12;;;;;15;
13;;;;20;3;
14;;4;;;;
15;;;;;2;
16;;;2;2;;
17;;;1;;;1
18;;;;;;
19;;;;29;;0,5
20;;0,5;;8;;
21;;;;;;
22;;;;5;;
23;;;;;;
24;8;;0,5;;4;
25;;20;;2;;
26;3;;;;;1
27;13;;;;;
28;2;;3,5;9;;0,5
29;;;3;26;;
30;;;;;;8
31;;;;29;;7
