;janvier;février;mars;avril;mai;juin
1;;15;2;1;6;6,5
2;;5;1;;;7
3;;;5;;;
4;3;7;4;;;4
5;11,5;7;2;;;
6;11;10;;1;;
7;14;;;;;
8;;;3;;;
9;3;;10;5;;
10;3,5;;24;;;
11;;;3;;;
12;4;;10;;;
13;;;;4,5;6;
14;4;;;11;13,5;
15;10;;;;;2
16;41;;21;;5;3
17;2;;4;;4;
18;8;;;8;;
19;;;;11,5;9;
20;;1;;13,5;;1
21;1;;6,5;4;;
22;;;;2,5;;
23;;;;3;;2
24;1;;5;;11;
25;;2;;;2;
26;;5;2;;3;
27;;3,5;5;;5;
28;;;4;;26;
29;;2;;16;2;
30;;;7;12;;
31;3;;4,5;;;
;120;57,5;123;93;92,5;25,5
