;janvier;février;mars;avril;mai;juin;;neige;neige janvier;neige février;neige mars
1;5,5;;;;;;;cm;;;
2;2;;;5;;;;;;;
3;;;16;;;;;;;;
4;1,5;;23;;;;;;;;6
5;;;;9;;;;;;;
6;;;;;6;;;;;;
7;;;;;;;;;;;
8;9;3;12;;6;;;;;;
9;5;;5;;2;;;;;;
10;5;;2;;;;;;;;
11;;;3;;;;;;;;
12;;;;1;;;;;;;
13;;;;;;;;;;;
14;;;;;;;;;;;
15;;;;;;;;;;;
16;;7;;1,5;11;;;;;;
17;9;14;;;;0,5;;;;;
18;;16;;;;;;;;;
19;;9;;;3;;;;;;
20;;6;;;20;;;;;;
21;;;;;2;;;;;;
22;;6;3;;;;;;;;
23;;;;;4;;;;;;
24;;0,5;9;8;;;;;;;
25;;;11;;;3,5;;;;;
26;;;5;;;3;;;;;
27;;;7;9;;;;;;;
28;;1,5;;;;;;;;;
29;6;;;;2;;;;6;;
30;6,5;;15;;;;;;;;
31;;;4;;;;;;;;
;49,5;63;115;33,5;56;7;;;6;;6
