;juillet;août;septembre;octobre;novembre;décembre
1;3;;5;;4;2
2;;;1;;10;7
3;;1;;;2;9,5
4;40;;;;3,5;1
5;;;;5;;
6;;;;4;27;7,5
7;1;;;;5;7
8;;;;8;2;
9;;;;2;;6
10;30;;;17;2;9
11;6;;;13;;3
12;2;;;10;8;2,5
13;;;;2;16;4
14;3;;;;5;13
15;;;;;2;7
16;;;1,5;18;7;
17;;;;1;;2
18;;;;1,5;;5
19;;6,5;28;8;6;
20;;10;10;17;5,5;
21;;;;3,5;21;
22;;;;;4;
23;;;;;10;
24;14;;;;;
25;;;;;6;5
26;10;6;;5,5;10;5
27;1;;;;10;2,5
28;1;;;5;3;5
29;;;28;;;1
30;;2;2;30;;2
31;;;;15;;
