;janvier;février;mars;avril;mai;juin
1;4,5;19;;;9;
2;;12;;;;
3;;;;;;
4;;3;;;;
5;1;5;;2,5;;
6;;;;;;
7;;;5;;;
8;;3;32;2;6,5;6,5
9;;7;2;20;;
10;1;12;;7;;
11;3;13;16;27,5;;1,5
12;;;3;7;;1,5
13;11;;4;4;;3,5
14;;5;;;;
15;3;;;;5;
16;7;;;;2;
17;;;8;;;13
18;3;;13;;;
19;2;;1;;27;12
20;5;;;;19;
21;2;;;;17,5;
22;;;5;;;1,5
23;3;;;;;
24;2;;;;;
25;;3;;;3,5;
26;10;;;;;
27;;;;;;
28;1;;;;6;
29;7;;;;5;
30;10,5;;;;19;
31;;;16;;1,5;
;76;82;105;70;121;39,5
