;juillet;août;septembre;octobre;novembre;décembre
1;;10;;1;2;0,5
2;;;;;38;
3;;;;10;2;
4;8;;;;;6,5
5;18;1,5;;;;2
6;1;2;;;15;
7;;5;;;;
8;;5;;;;3
9;;10;;;;5
10;;2;;;;4
11;1;;;;2,5;9
12;1,5;;;;;15,5
13;35;;29;;5;
14;;1;17;1;;9
15;2;1;;;;
16;;2;;;;
17;;;10;;1;
18;;11,5;5;;3;18
19;;2,5;15;;5;7
20;;;12;1,5;;1
21;1,5;;16;;3;
22;;;19;30;;
23;;;10;6,5;;
24;;;;22;;2
25;;;;7,5;;30
26;;;2,5;2,5;;19
27;;;5;;4;8
28;1,5;;9;1;;26,5
29;;;18;;;0,5
30;;;30;;;
31;;;;4;;9,5
