;janvier;février;mars;avril;mai;juin
1;;;;;;
2;;1;;;13;
3;;;;2;7;
4;;;;;;
5;;;;;;9
6;22,5;;;;8;4
7;8,5;;;;5;
8;2;;;;;
9;;;;;;
10;11;;;;;
11;;;;;;
12;8;;;;;
13;;;;;;2
14;;9;8;;6;2
15;4;2;;;;
16;;;;;;
17;;3;;;;1
18;;;;;;5
19;;6,5;;;;
20;;;;;;
21;;;;;;
22;;9;;;;10
23;;;;;;
24;3;2;;4;;
25;;;;3;;
26;;3;;;;
27;19;5,5;;;;
28;;9;6;;;7
29;;;;;;
30;;;8;2;;
31;;;;;2;
;78;50;22;11;41;40
