;janvier;février;mars;avril;mai;juin
1;3;;;;;
2;;12;7;;;
3;;;14;;;
4;;2;2;;;
5;;4;10;;;
6;3;;;;;
7;;;;;;
8;;20;21;;;
9;3;5;;;;
10;;3;;;;
11;3;;;;;5
12;;11;;;5;
13;;1;;;5;
14;;13;;;;
15;;12;;;;
16;;6;3;;7;
17;;;10;;5;
18;20;5;6;;8;
19;6;2;22;8;;
20;25;12;3;2,5;;
21;25;;2;;;
22;25;3;7;8;;
23;22;8;;;;
24;2;6;;;2;
25;22;11;;2;;
26;16;6;;5;;
27;4;1;;2;;
28;22;;;;;
29;2;;;;;
30;;;;3;;
31;;;;;;
