;juillet;août;septembre;octobre;novembre;décembre
1;;;;;6,5;
2;;3,5;;;;10
3;;3;;;10;
4;;;;;15;14
5;;5;4,5;;3;10
6;3;;;4;3,5;
7;;13;4,5;;;6
8;;3;;;;
9;;;;;2;3,5
10;;;;;;19
11;;1;13,5;;;
12;19;;;;;
13;;7,5;;2;;25
14;;;;;;10
15;;;;;;25
16;;2;2;;;30
17;16;;;;;5
18;3;;;;;
19;20;;6;10;;
20;;;;;;7
21;;;;;;
22;6;8,5;;;;5
23;2;;;;;
24;;;;;;3
25;;15;;14;;
26;2;12;;6,5;;
27;;;;;;1
28;;;;2;;
29;;;;;9,5;
30;;;;;;
31;;;;;;11
;71;73,5;30,5;38,5;49,5;184,5
