;janvier;février;mars;avril;mai;juin
1;1;;18;4;;
2;1,5;;;;5;
3;;;;2;;
4;;;9;0,5;;
5;5;;;1;;18
6;;;;;;
7;1;6;;;1,5;
8;;6;;;;
9;2,5;12;;;2;
10;;;;9;7;17
11;;6;;;21;
12;;;;11;5;
13;;14;;3;36;
14;4,5;2;;5;;
15;;2;;9;;
16;;7;;2;;
17;;2;;7;;
18;;;;;;
19;;4,5;;4;2;
20;;;;2;;
21;;;;3;1;
22;;;;4;;
23;;;;2;;
24;;;5;4;5;
25;0,5;;4;;;5
26;;2;6;10;;
27;;;6;3;;
28;;6;5;6;3;
29;;5;2;;;
30;2,5;;;;2;
31;;;;;6;
